"folder","sim","scopit_star","scopit_true","kstar","scopit_worst_ratio","scopit_best_ratio"
"sim1a","n7_S1_k1_F.tsv_trees.txt",2139,60,48,44.5625,1.25
"sim1a","n7_S10_k1_F.tsv_trees.txt",440,65,58,7.58620689655172,1.12068965517241
"sim1a","n7_S100_k1_F.tsv_trees.txt",3744,59,46,81.3913043478261,1.28260869565217
"sim1a","n7_S11_k1_F.tsv_trees.txt",446,60,50,8.92,1.2
"sim1a","n7_S12_k1_F.tsv_trees.txt",343,61,49,7,1.24489795918367
"sim1a","n7_S13_k1_F.tsv_trees.txt",133,61,58,2.29310344827586,1.05172413793103
"sim1a","n7_S14_k1_F.tsv_trees.txt",1663,60,35,47.5142857142857,1.71428571428571
"sim1a","n7_S15_k1_F.tsv_trees.txt",665,71,39,17.0512820512821,1.82051282051282
"sim1a","n7_S16_k1_F.tsv_trees.txt",132,70,25,5.28,2.8
"sim1a","n7_S17_k1_F.tsv_trees.txt",2139,37,32,66.84375,1.15625
"sim1a","n7_S18_k1_F.tsv_trees.txt",1545,59,43,35.9302325581395,1.37209302325581
"sim1a","n7_S19_k1_F.tsv_trees.txt",150,56,46,3.26086956521739,1.21739130434783
"sim1a","n7_S2_k1_F.tsv_trees.txt",2995,62,34,88.0882352941177,1.82352941176471
"sim1a","n7_S20_k1_F.tsv_trees.txt",1996,55,39,51.1794871794872,1.41025641025641
"sim1a","n7_S21_k1_F.tsv_trees.txt",93,65,52,1.78846153846154,1.25
"sim1a","n7_S22_k1_F.tsv_trees.txt",132,66,53,2.49056603773585,1.24528301886792
"sim1a","n7_S23_k1_F.tsv_trees.txt",339,65,52,6.51923076923077,1.25
"sim1a","n7_S24_k1_F.tsv_trees.txt",544,44,23,23.6521739130435,1.91304347826087
"sim1a","n7_S25_k1_F.tsv_trees.txt",384,61,26,14.7692307692308,2.34615384615385
"sim1a","n7_S26_k1_F.tsv_trees.txt",373,59,50,7.46,1.18
"sim1a","n7_S27_k1_F.tsv_trees.txt",29956,53,44,680.818181818182,1.20454545454545
"sim1a","n7_S28_k1_F.tsv_trees.txt",105,49,19,5.52631578947368,2.57894736842105
"sim1a","n7_S29_k1_F.tsv_trees.txt",2995,54,28,106.964285714286,1.92857142857143
"sim1a","n7_S3_k1_F.tsv_trees.txt",2495,59,41,60.8536585365854,1.4390243902439
"sim1a","n7_S30_k1_F.tsv_trees.txt",600,47,30,20,1.56666666666667
"sim1a","n7_S31_k1_F.tsv_trees.txt",1197,65,52,23.0192307692308,1.25
"sim1a","n7_S32_k1_F.tsv_trees.txt",1069,61,43,24.8604651162791,1.41860465116279
"sim1a","n7_S33_k1_F.tsv_trees.txt",66,58,32,2.0625,1.8125
"sim1a","n7_S34_k1_F.tsv_trees.txt",3328,45,34,97.8823529411765,1.32352941176471
"sim1a","n7_S35_k1_F.tsv_trees.txt",190,59,36,5.27777777777778,1.63888888888889
"sim1a","n7_S36_k1_F.tsv_trees.txt",29956,66,52,576.076923076923,1.26923076923077
"sim1a","n7_S37_k1_F.tsv_trees.txt",613,51,32,19.15625,1.59375
"sim1a","n7_S38_k1_F.tsv_trees.txt",14978,48,40,374.45,1.2
"sim1a","n7_S39_k1_F.tsv_trees.txt",1996,65,31,64.3870967741936,2.09677419354839
"sim1a","n7_S4_k1_F.tsv_trees.txt",575,54,47,12.2340425531915,1.14893617021277
"sim1a","n7_S40_k1_F.tsv_trees.txt",170,66,58,2.93103448275862,1.13793103448276
"sim1a","n7_S41_k1_F.tsv_trees.txt",767,55,43,17.8372093023256,1.27906976744186
"sim1a","n7_S42_k1_F.tsv_trees.txt",1247,70,48,25.9791666666667,1.45833333333333
"sim1a","n7_S43_k1_F.tsv_trees.txt",965,54,51,18.921568627451,1.05882352941176
"sim1a","n7_S44_k1_F.tsv_trees.txt",1663,55,48,34.6458333333333,1.14583333333333
"sim1a","n7_S45_k1_F.tsv_trees.txt",9985,53,41,243.536585365854,1.29268292682927
"sim1a","n7_S46_k1_F.tsv_trees.txt",138,59,36,3.83333333333333,1.63888888888889
"sim1a","n7_S47_k1_F.tsv_trees.txt",440,49,27,16.2962962962963,1.81481481481481
"sim1a","n7_S48_k1_F.tsv_trees.txt",339,58,43,7.88372093023256,1.34883720930233
"sim1a","n7_S49_k1_F.tsv_trees.txt",165,61,23,7.17391304347826,2.65217391304348
"sim1a","n7_S5_k1_F.tsv_trees.txt",197,59,22,8.95454545454546,2.68181818181818
"sim1a","n7_S50_k1_F.tsv_trees.txt",259,59,40,6.475,1.475
"sim1a","n7_S51_k1_F.tsv_trees.txt",124,45,39,3.17948717948718,1.15384615384615
"sim1a","n7_S52_k1_F.tsv_trees.txt",857,74,45,19.0444444444444,1.64444444444444
"sim1a","n7_S53_k1_F.tsv_trees.txt",2139,43,25,85.56,1.72
"sim1a","n7_S54_k1_F.tsv_trees.txt",253,47,35,7.22857142857143,1.34285714285714
"sim1a","n7_S55_k1_F.tsv_trees.txt",258,55,33,7.81818181818182,1.66666666666667
"sim1a","n7_S56_k1_F.tsv_trees.txt",967,46,29,33.3448275862069,1.58620689655172
"sim1a","n7_S57_k1_F.tsv_trees.txt",29956,69,9,3328.44444444444,7.66666666666667
"sim1a","n7_S58_k1_F.tsv_trees.txt",544,54,46,11.8260869565217,1.17391304347826
"sim1a","n7_S59_k1_F.tsv_trees.txt",554,49,36,15.3888888888889,1.36111111111111
"sim1a","n7_S6_k1_F.tsv_trees.txt",935,52,34,27.5,1.52941176470588
"sim1a","n7_S60_k1_F.tsv_trees.txt",299,59,31,9.64516129032258,1.90322580645161
"sim1a","n7_S61_k1_F.tsv_trees.txt",225,60,50,4.5,1.2
"sim1a","n7_S62_k1_F.tsv_trees.txt",904,67,47,19.2340425531915,1.42553191489362
"sim1a","n7_S63_k1_F.tsv_trees.txt",1500,70,54,27.7777777777778,1.2962962962963
"sim1a","n7_S65_k1_F.tsv_trees.txt",232,59,32,7.25,1.84375
"sim1a","n7_S66_k1_F.tsv_trees.txt",70,41,27,2.59259259259259,1.51851851851852
"sim1a","n7_S67_k1_F.tsv_trees.txt",460,57,26,17.6923076923077,2.19230769230769
"sim1a","n7_S68_k1_F.tsv_trees.txt",1109,77,56,19.8035714285714,1.375
"sim1a","n7_S69_k1_F.tsv_trees.txt",3328,64,26,128,2.46153846153846
"sim1a","n7_S7_k1_F.tsv_trees.txt",94,71,52,1.80769230769231,1.36538461538462
"sim1a","n7_S70_k1_F.tsv_trees.txt",453,60,53,8.54716981132075,1.13207547169811
"sim1a","n7_S71_k1_F.tsv_trees.txt",383,58,40,9.575,1.45
"sim1a","n7_S72_k1_F.tsv_trees.txt",352,54,52,6.76923076923077,1.03846153846154
"sim1a","n7_S73_k1_F.tsv_trees.txt",1761,69,47,37.468085106383,1.46808510638298
"sim1a","n7_S74_k1_F.tsv_trees.txt",110,63,42,2.61904761904762,1.5
"sim1a","n7_S75_k1_F.tsv_trees.txt",1085,70,58,18.7068965517241,1.20689655172414
"sim1a","n7_S76_k1_F.tsv_trees.txt",7488,55,40,187.2,1.375
"sim1a","n7_S77_k1_F.tsv_trees.txt",1223,50,35,34.9428571428571,1.42857142857143
"sim1a","n7_S78_k1_F.tsv_trees.txt",197,63,30,6.56666666666667,2.1
"sim1a","n7_S79_k1_F.tsv_trees.txt",467,58,23,20.304347826087,2.52173913043478
"sim1a","n7_S8_k1_F.tsv_trees.txt",809,46,18,44.9444444444444,2.55555555555556
"sim1a","n7_S80_k1_F.tsv_trees.txt",453,65,18,25.1666666666667,3.61111111111111
"sim1a","n7_S81_k1_F.tsv_trees.txt",3744,67,43,87.0697674418605,1.55813953488372
"sim1a","n7_S82_k1_F.tsv_trees.txt",3328,58,56,59.4285714285714,1.03571428571429
"sim1a","n7_S83_k1_F.tsv_trees.txt",228,66,49,4.6530612244898,1.3469387755102
"sim1a","n7_S84_k1_F.tsv_trees.txt",665,55,27,24.6296296296296,2.03703703703704
"sim1a","n7_S85_k1_F.tsv_trees.txt",907,45,21,43.1904761904762,2.14285714285714
"sim1a","n7_S86_k1_F.tsv_trees.txt",62,62,21,2.95238095238095,2.95238095238095
"sim1a","n7_S87_k1_F.tsv_trees.txt",9985,61,27,369.814814814815,2.25925925925926
"sim1a","n7_S88_k1_F.tsv_trees.txt",374,57,54,6.92592592592593,1.05555555555556
"sim1a","n7_S89_k1_F.tsv_trees.txt",167,65,41,4.07317073170732,1.58536585365854
"sim1a","n7_S9_k1_F.tsv_trees.txt",1118,62,50,22.36,1.24
"sim1a","n7_S90_k1_F.tsv_trees.txt",1497,69,47,31.8510638297872,1.46808510638298
"sim1a","n7_S91_k1_F.tsv_trees.txt",623,54,21,29.6666666666667,2.57142857142857
"sim1a","n7_S92_k1_F.tsv_trees.txt",4992,54,20,249.6,2.7
"sim1a","n7_S93_k1_F.tsv_trees.txt",787,62,58,13.5689655172414,1.06896551724138
"sim1a","n7_S94_k1_F.tsv_trees.txt",610,69,37,16.4864864864865,1.86486486486486
"sim1a","n7_S95_k1_F.tsv_trees.txt",64,64,23,2.78260869565217,2.78260869565217
"sim1a","n7_S96_k1_F.tsv_trees.txt",638,54,43,14.8372093023256,1.25581395348837
"sim1a","n7_S97_k1_F.tsv_trees.txt",149,61,27,5.51851851851852,2.25925925925926
"sim1a","n7_S98_k1_F.tsv_trees.txt",415,47,15,27.6666666666667,3.13333333333333
"sim1a","n7_S99_k1_F.tsv_trees.txt",5990,48,24,249.583333333333,2
"sim1b","n7_S1_k1_F_downsample_trees.txt",2139,60,48,44.5625,1.25
"sim1b","n7_S10_k1_F_downsample_trees.txt",308,65,58,5.31034482758621,1.12068965517241
"sim1b","n7_S100_k1_F_downsample_trees.txt",3744,59,46,81.3913043478261,1.28260869565217
"sim1b","n7_S11_k1_F_downsample_trees.txt",118,60,50,2.36,1.2
"sim1b","n7_S12_k1_F_downsample_trees.txt",302,61,49,6.16326530612245,1.24489795918367
"sim1b","n7_S13_k1_F_downsample_trees.txt",128,61,58,2.20689655172414,1.05172413793103
"sim1b","n7_S14_k1_F_downsample_trees.txt",1663,60,35,47.5142857142857,1.71428571428571
"sim1b","n7_S15_k1_F_downsample_trees.txt",665,71,39,17.0512820512821,1.82051282051282
"sim1b","n7_S16_k1_F_downsample_trees.txt",70,70,9,7.77777777777778,7.77777777777778
"sim1b","n7_S17_k1_F_downsample_trees.txt",2139,37,32,66.84375,1.15625
"sim1b","n7_S18_k1_F_downsample_trees.txt",1497,59,43,34.8139534883721,1.37209302325581
"sim1b","n7_S19_k1_F_downsample_trees.txt",134,56,46,2.91304347826087,1.21739130434783
"sim1b","n7_S2_k1_F_downsample_trees.txt",2995,62,16,187.1875,3.875
"sim1b","n7_S20_k1_F_downsample_trees.txt",767,55,39,19.6666666666667,1.41025641025641
"sim1b","n7_S21_k1_F_downsample_trees.txt",91,65,13,7,5
"sim1b","n7_S22_k1_F_downsample_trees.txt",116,66,28,4.14285714285714,2.35714285714286
"sim1b","n7_S23_k1_F_downsample_trees.txt",332,65,29,11.448275862069,2.24137931034483
"sim1b","n7_S24_k1_F_downsample_trees.txt",72,44,23,3.1304347826087,1.91304347826087
"sim1b","n7_S25_k1_F_downsample_trees.txt",373,61,11,33.9090909090909,5.54545454545455
"sim1b","n7_S26_k1_F_downsample_trees.txt",63,59,13,4.84615384615385,4.53846153846154
"sim1b","n7_S27_k1_F_downsample_trees.txt",712,53,44,16.1818181818182,1.20454545454545
"sim1b","n7_S28_k1_F_downsample_trees.txt",105,49,13,8.07692307692308,3.76923076923077
"sim1b","n7_S29_k1_F_downsample_trees.txt",2995,54,28,106.964285714286,1.92857142857143
"sim1b","n7_S3_k1_F_downsample_trees.txt",2495,59,19,131.315789473684,3.10526315789474
"sim1b","n7_S30_k1_F_downsample_trees.txt",277,47,30,9.23333333333333,1.56666666666667
"sim1b","n7_S31_k1_F_downsample_trees.txt",1197,65,52,23.0192307692308,1.25
"sim1b","n7_S32_k1_F_downsample_trees.txt",117,61,43,2.72093023255814,1.41860465116279
"sim1b","n7_S33_k1_F_downsample_trees.txt",64,58,9,7.11111111111111,6.44444444444444
"sim1b","n7_S34_k1_F_downsample_trees.txt",3328,45,33,100.848484848485,1.36363636363636
"sim1b","n7_S35_k1_F_downsample_trees.txt",189,59,36,5.25,1.63888888888889
"sim1b","n7_S36_k1_F_downsample_trees.txt",29956,66,52,576.076923076923,1.26923076923077
"sim1b","n7_S37_k1_F_downsample_trees.txt",613,51,32,19.15625,1.59375
"sim1b","n7_S38_k1_F_downsample_trees.txt",14978,48,40,374.45,1.2
"sim1b","n7_S39_k1_F_downsample_trees.txt",1996,65,7,285.142857142857,9.28571428571429
"sim1b","n7_S4_k1_F_downsample_trees.txt",575,54,47,12.2340425531915,1.14893617021277
"sim1b","n7_S40_k1_F_downsample_trees.txt",117,66,11,10.6363636363636,6
"sim1b","n7_S41_k1_F_downsample_trees.txt",767,55,43,17.8372093023256,1.27906976744186
"sim1b","n7_S42_k1_F_downsample_trees.txt",173,70,23,7.52173913043478,3.04347826086957
"sim1b","n7_S43_k1_F_downsample_trees.txt",965,54,51,18.921568627451,1.05882352941176
"sim1b","n7_S44_k1_F_downsample_trees.txt",329,55,48,6.85416666666667,1.14583333333333
"sim1b","n7_S45_k1_F_downsample_trees.txt",9985,53,41,243.536585365854,1.29268292682927
"sim1b","n7_S46_k1_F_downsample_trees.txt",93,59,7,13.2857142857143,8.42857142857143
"sim1b","n7_S47_k1_F_downsample_trees.txt",433,49,27,16.037037037037,1.81481481481481
"sim1b","n7_S48_k1_F_downsample_trees.txt",223,58,43,5.18604651162791,1.34883720930233
"sim1b","n7_S49_k1_F_downsample_trees.txt",165,61,6,27.5,10.1666666666667
"sim1b","n7_S5_k1_F_downsample_trees.txt",196,59,19,10.3157894736842,3.10526315789474
"sim1b","n7_S50_k1_F_downsample_trees.txt",259,59,16,16.1875,3.6875
"sim1b","n7_S51_k1_F_downsample_trees.txt",62,45,16,3.875,2.8125
"sim1b","n7_S52_k1_F_downsample_trees.txt",855,74,26,32.8846153846154,2.84615384615385
"sim1b","n7_S53_k1_F_downsample_trees.txt",2139,43,8,267.375,5.375
"sim1b","n7_S54_k1_F_downsample_trees.txt",60,47,35,1.71428571428571,1.34285714285714
"sim1b","n7_S55_k1_F_downsample_trees.txt",258,55,24,10.75,2.29166666666667
"sim1b","n7_S56_k1_F_downsample_trees.txt",967,46,28,34.5357142857143,1.64285714285714
"sim1b","n7_S57_k1_F_downsample_trees.txt",69,69,3,23,23
"sim1b","n7_S58_k1_F_downsample_trees.txt",194,54,46,4.21739130434783,1.17391304347826
"sim1b","n7_S59_k1_F_downsample_trees.txt",554,49,8,69.25,6.125
"sim1b","n7_S6_k1_F_downsample_trees.txt",935,52,34,27.5,1.52941176470588
"sim1b","n7_S60_k1_F_downsample_trees.txt",106,59,31,3.41935483870968,1.90322580645161
"sim1b","n7_S61_k1_F_downsample_trees.txt",190,60,50,3.8,1.2
"sim1b","n7_S62_k1_F_downsample_trees.txt",904,67,47,19.2340425531915,1.42553191489362
"sim1b","n7_S63_k1_F_downsample_trees.txt",1247,70,54,23.0925925925926,1.2962962962963
"sim1b","n7_S65_k1_F_downsample_trees.txt",232,59,32,7.25,1.84375
"sim1b","n7_S66_k1_F_downsample_trees.txt",45,41,19,2.36842105263158,2.15789473684211
"sim1b","n7_S67_k1_F_downsample_trees.txt",460,57,4,115,14.25
"sim1b","n7_S68_k1_F_downsample_trees.txt",1109,77,56,19.8035714285714,1.375
"sim1b","n7_S69_k1_F_downsample_trees.txt",3328,64,26,128,2.46153846153846
"sim1b","n7_S7_k1_F_downsample_trees.txt",71,71,12,5.91666666666667,5.91666666666667
"sim1b","n7_S70_k1_F_downsample_trees.txt",69,60,13,5.30769230769231,4.61538461538461
"sim1b","n7_S71_k1_F_downsample_trees.txt",383,58,40,9.575,1.45
"sim1b","n7_S72_k1_F_downsample_trees.txt",351,54,52,6.75,1.03846153846154
"sim1b","n7_S73_k1_F_downsample_trees.txt",1761,69,47,37.468085106383,1.46808510638298
"sim1b","n7_S74_k1_F_downsample_trees.txt",63,63,13,4.84615384615385,4.84615384615385
"sim1b","n7_S75_k1_F_downsample_trees.txt",1069,70,58,18.4310344827586,1.20689655172414
"sim1b","n7_S76_k1_F_downsample_trees.txt",796,55,40,19.9,1.375
"sim1b","n7_S77_k1_F_downsample_trees.txt",1109,50,35,31.6857142857143,1.42857142857143
"sim1b","n7_S78_k1_F_downsample_trees.txt",197,63,30,6.56666666666667,2.1
"sim1b","n7_S79_k1_F_downsample_trees.txt",85,58,16,5.3125,3.625
"sim1b","n7_S8_k1_F_downsample_trees.txt",809,46,3,269.666666666667,15.3333333333333
"sim1b","n7_S80_k1_F_downsample_trees.txt",157,65,9,17.4444444444444,7.22222222222222
"sim1b","n7_S81_k1_F_downsample_trees.txt",3744,67,43,87.0697674418605,1.55813953488372
"sim1b","n7_S82_k1_F_downsample_trees.txt",1497,58,56,26.7321428571429,1.03571428571429
"sim1b","n7_S83_k1_F_downsample_trees.txt",228,66,49,4.6530612244898,1.3469387755102
"sim1b","n7_S84_k1_F_downsample_trees.txt",665,55,10,66.5,5.5
"sim1b","n7_S85_k1_F_downsample_trees.txt",185,45,18,10.2777777777778,2.5
"sim1b","n7_S86_k1_F_downsample_trees.txt",62,62,21,2.95238095238095,2.95238095238095
"sim1b","n7_S87_k1_F_downsample_trees.txt",9985,61,27,369.814814814815,2.25925925925926
"sim1b","n7_S88_k1_F_downsample_trees.txt",374,57,54,6.92592592592593,1.05555555555556
"sim1b","n7_S89_k1_F_downsample_trees.txt",161,65,41,3.92682926829268,1.58536585365854
"sim1b","n7_S9_k1_F_downsample_trees.txt",1109,62,50,22.18,1.24
"sim1b","n7_S90_k1_F_downsample_trees.txt",1497,69,35,42.7714285714286,1.97142857142857
"sim1b","n7_S91_k1_F_downsample_trees.txt",80,54,21,3.80952380952381,2.57142857142857
"sim1b","n7_S92_k1_F_downsample_trees.txt",4992,54,20,249.6,2.7
"sim1b","n7_S93_k1_F_downsample_trees.txt",204,62,58,3.51724137931034,1.06896551724138
"sim1b","n7_S94_k1_F_downsample_trees.txt",610,69,37,16.4864864864865,1.86486486486486
"sim1b","n7_S95_k1_F_downsample_trees.txt",59,64,23,2.56521739130435,2.78260869565217
"sim1b","n7_S96_k1_F_downsample_trees.txt",636,54,35,18.1714285714286,1.54285714285714
"sim1b","n7_S97_k1_F_downsample_trees.txt",61,61,12,5.08333333333333,5.08333333333333
"sim1b","n7_S98_k1_F_downsample_trees.txt",415,47,15,27.6666666666667,3.13333333333333
"sim1b","n7_S99_k1_F_downsample_trees.txt",5990,48,24,249.583333333333,2
"sim2a","n7_S1_k1_F.tsv_trees.txt",2139,60,48,44.5625,1.25
"sim2a","n7_S10_k1_F.tsv_trees.txt",440,65,58,7.58620689655172,1.12068965517241
"sim2a","n7_S100_k1_F.tsv_trees.txt",3744,59,46,81.3913043478261,1.28260869565217
"sim2a","n7_S11_k1_F.tsv_trees.txt",446,60,50,8.92,1.2
"sim2a","n7_S12_k1_F.tsv_trees.txt",343,61,49,7,1.24489795918367
"sim2a","n7_S13_k1_F.tsv_trees.txt",133,61,58,2.29310344827586,1.05172413793103
"sim2a","n7_S14_k1_F.tsv_trees.txt",1663,60,35,47.5142857142857,1.71428571428571
"sim2a","n7_S15_k1_F.tsv_trees.txt",665,71,39,17.0512820512821,1.82051282051282
"sim2a","n7_S16_k1_F.tsv_trees.txt",132,70,25,5.28,2.8
"sim2a","n7_S17_k1_F.tsv_trees.txt",2139,37,32,66.84375,1.15625
"sim2a","n7_S18_k1_F.tsv_trees.txt",1545,59,43,35.9302325581395,1.37209302325581
"sim2a","n7_S19_k1_F.tsv_trees.txt",150,56,46,3.26086956521739,1.21739130434783
"sim2a","n7_S2_k1_F.tsv_trees.txt",2995,62,34,88.0882352941177,1.82352941176471
